Question,Answer,Answer_start,Answer_end,Context
 The writer was taken out of the Madras State because _., he was made an Andhra,0,21,"['self-same body. So too, suffering in onecorner of the world is as much the concern of the Lord as suffering in any other. When Andhra State was formed,someone told Me that I had been taken out of the Madras State and made an Andhra! I told him that the wholeworld was My Mansion and that Madras and Andhra were rooms in that Mansion! The world is a temple, thetemple of the Lord, His body where He resides.When I was coming by car to this place, I passed through several streets and I found several halls decorated,because they were having religious']"
 The best title for this passage is _., Clean Air,0,9,"['well as harmful to the clothes. It should be a daily process; you should see that no dirtsettles upon the mind. That is to say, you should move about in such company that dirt is avoided. Falsehood,injustice, indiscipline, cruelty, hate —\xad these form the dirt.Truth, righteousness, peace, love (sathya, dharma, santhi, prema) — these form the clean elements. If youinhale the pure air of these latter, your mind will be free from evil bacilli and you will be mentally sturdy andphysically strong. As Vivekananda used to say, you should have nerves of steel and muscles of iron. That is to']"
 The passage is mainly about _., how to get more success in the struggle,0,39,"['for. “as felt, so fashioned (yadh bhavare, thath bhavathi).” He bows to your will, He carries your burdenprovided you trust Him with it.Therefore, act and feel and speak so that you get “joy here, joy hereafter, and joy everlasting” —all three. Ibless you all that you get more success in the struggle.Prasanthi Nilayam, Birthday Festival, 1960-11-23You must tread the spiritual path with an uncontrollable urge to reach the Goal;you must cultivate the yearning for liberation from all this encumbrance.Remember that you have to dwell in a house built on four stout pillars: righteousness,wealth, desire, and liberation —righteousness supporting wealth, and']"
 What is the main idea of the passage?, The importance of following the advice given.,0,45,"['their leisure as well as habits of thought.Sathya Sai Baba\x0c12. ToleranceIhad no idea of speaking to you this evening, but of course, I need no “preparation”. My Resolve and its fulfillment are instantaneous.Sri Subbaramaiah spoke just now of some important guiding principles of life, like the cultivation of virtues,the development of character, the control of hatred, etc. Advice such as this is being given from a hundred platforms every day, and people listen and depart. But they do not practise what they have heard, so things remainwhere they are. This is because those who give advice do not follow what']"
" The stream must flowfull and fast, so that _.", the slush might be scoured clean,138,171,"['the current of the stream is slow, the slush cannot be cleared. The stream must flowfull and fast, driving everything before it, so that the slush might be scoured clean.Liberation can be achieved by subtle meansI shall talk to you of these first steps only, for they are the most important for spiritual aspirants, and youall are all or are bound to be spiritual aspirants. “Moksha lies in the sukshma,” they say —”Liberation can be\x0cachieved by subtle means.” Treat the others in the same way as you would like them to treat you. Never broodover the past. When grief overpowers']"
" When you sit in this hall, you know that _.", you are not the same as the hall,0,32,"['said to have attained Bliss.Love has to begin with a great yearning for LightJust because you have taken residence in this body, you cannot call the body ‘I’. When you sit here in thishall, you do not call the hall “I”. You know you are separate and that you are here only temporarily. When youmove about in a horse cart, you do not say that the cart is you, do you? You do not take the cart inside when youstep down from it on reaching home. So also, you have to drop this body when you reach “home”.The ‘I’ in']"
 The first step in enquiring about the Self is to _., learn to be honest with others,0,30,"['basic\x0creality behind all this appearance.Finding fault with others comes out of egoismThe first step in enquiring about the Self is the practice of the truth that whatever gives you pain gives painto others and whatever gives you joy gives joy to others. So do unto others as you would like them to do untoyou; desist from any act in relation to others which if done by them will give you pain. Thus, a kind of reciprocalrelationship will grow between you and others, and gradually you reach the stage when your heart thrills with joywhen others are joyful and shudders in']"
 The best title for the passage is _., Remember the Name of the Lord,0,29,"['blooms and the petals unfold. Remember, only buds that are ready will bloom; the rest have to wait patiently.Meanwhile, carry on with the companionship of the Name of the Lord; remembering the Name is the best antidotefor all ills.Akhanda bhajans, Bangalore 1959-07-10In order to promote harmony, the first rule you must follow is control of the tongue.Do not give all your thoughts immediate expression. Select, ponder, and then, speakout. Speak softly, sweetly, without malice in your heart; speak as if you are addressing the Sai who resides in everyone. Use the tongue to recite the Name of the Lord;use the']"
 The author writes the passage to _., encourage people to be kind and helpful,0,39,"['in your innermost heart be similarly overwhelmed by the sands of lust andanger. You talked of many sages and yogis who have done penance here, according to tradition. Well, those sagesand yogis knew which is real and which is unreal. They controlled the vagaries of the mind and dwelt in peace(santhi). Fix your attention on these eternal values; then you will not be swept off your feet by gusts of passionor fits of fury. Then this village, filled with love and mutual helpfulness, will become the ideal for miles around.Budili Village, 1959-09-09\x0c24. Many-pointedness And One-pointednessTHOUGH this area and this town']"
 The fourteenth night of the dark half is called Sivarathri because _., it is the night when the spiritual aspirant should spend all his efforts in meditation,0,86,"['its power declines. Finally, on the fourteenth night, there is just a wee bit left,that is all. If a little extra effort is made that day by the spiritual aspirant, even that bit can be wiped off and mastery of the mind completed.The fourteenth night of the dark half is called Sivarathri, for that night should be spent in the repetition of theName of and meditation on Siva, without any other thought either of food or sleep. Then success is assured. Oncea year, on Mahasivarathri night, a special spurt of spiritual activity is recommended, so that what is the corpse(savam)']"
 The education man must first secure _., the mind is the wind,0,20,"['broken, the sound becomes a screeching torture.\x0cThe education man must first secureThe mind is the wind that brings us the smell, foul or fragrant, of the world. When the mind turns to the foul,it makes you disgusted; when it turns toward the fragrant, you are made happy. The wind gathers the clouds fromthe four quarters; similarly the mind brings into your consciousness the disappointments of many hopes. Again, itis the mind that, like the wind, scatters the clouds that darken it or make it feel lost in the night of doubt. Controlthe mind and you remain unruffled. That is the']"
 The author's purpose in writing the passage is to _., tell us the real journey of life,0,32,"['pride and jealousy.Bhasmasura got vast power through the Grace of God, even the power to burn into ash anyone on whosehead he placed his hand. But his instincts had not been tamed, his reason had not been purified, so, in his greedand egoism, he tried to reduce the very Giver of the Gift into ashes!The scriptures are only road maps. They are guide books at best, describing the road and giving the directionsfor the journey. It is the actual journey that will reveal the hardships, the delays, the landslides, and the pot holes,as well as the beauty of the scenery']"
 The author thinks intellectual scholarship is _., useless,0,7,"['one jump; it is a hard job to negate the evidence of the senses; one has toovercome the tendencies that have grown through hundreds of births. The world is an illusion and all is Brahmanonly for one who has reached the ultimate goal, but until Realisation dawns, one has to wait patiently, hoping andpreparing. The growing baby cannot be fed on adult food; you have to adjust the food to the needs and capabilitiesof the child. Do not overdo or avoid doing anything. Both lead to disease and ruin health.Develop bliss through cultivation of loveI do not consider intellectual scholarship']"
 The ocean is the _., Supreme Energy,444,459,"['the significance of the Name; the deeper mysteries of the wordmust be present before the mind’s eye. Then, remembrance of the Name will yield quicker results. Radha is notan individual. It symbolises Dha-ra meaning Earth, the creation. Krishna or Shyama is the Creator, the ActivePrinciple: the Chith (Awareness), the Purusha (Supreme Being). Sakthi (Supreme Energy) is the Supreme Atma;the individual is the individual soul; the Ocean is the Supreme Energy and the Wave is the individual. All the tasteand all the forces and roar of the wave are derived from the ocean, and they disappear into the ocean itself. Thedisappearance']"
 Baba created a conch to _., make the nectar materialise,0,27,"['misled by such doubts when the Form has come before you; make the moment useful, thelife worthwhile.(Finding that the vast gathering would not be able to see the materialisation of the nectar if He did it whileseated on the sands, Baba first created a conch, “the vessel from which the amrith (nectar) will now emanate,”as He announced. Then He stood up in the centre of the crowd and “poured” from that empty conch into a silvervessel a sparkling stream of sweet and fragrant nectar, which he later distributed to every person who had come.)Chitravathi River Bed, Vaikuntha Ekadasi, 1960-12-28What you']"
 The author suggests that the students should _., be careful about what they think,0,32,"['and for loose morals that have become the only property the elders leave behind for theirchildren.Your study here must develop your powers of discrimination, not your egoism. Do not argue for argument’ssake, for it will lead only to dry scholarship and intellectual pride. Such craving for criticism is a disease of theintellect, and it has to be nipped in the bud. Examine the thing that you do not like very closely and with greatcare. Do not jump to conclusions, favourable or unfavourable. That would be abdicating your precious status of“thinker” and your responsibility to yourself. Even the sun, which is']"
 The mind is like a watchman because _., it has to be kept under control by the master,0,45,"['the thirst for lastingjoy. You are all like the man who has forgotten his name. The hunger of the mind can be appeased only by theacquisition of spiritual wisdom.Give your mind strength-giving ideas and courageThe mind is like a watchman; it has to be kept fully under control by the master. Besides, the watchman willlet into the mansion only those who are friendly to the master, is it not? So, only such thoughts and feelings as areconducive to the welfare of the master should be tolerated by the mind. The mind is the chief thing for man, butits role has']"
 The author thinks that _., the real pilgrimage is to practise virtues,0,42,"['qualities: truth and love.Nellore, 1958-07-25Individual reconstruction is much more important than the construction of temples.Multiply virtues, not buildings; practise what you preach, that is the real pilgrimage;cleanse your minds of envy and malice, that is the real bath in holy waters.Of what avail is the name of the Lord on the tongue if the heart within is impure? Injustice and discontent are spreading everywhere due to this one fault in man: saying onething and doing the opposite, the tongue and the hand going in different directions.People have to set themselves right and correct their food, their recreation, theirmethod of spending']"
 The chief source of ananda is _., devotion to God,0,15,"['increase the stock of your bliss (ananda) and improve the quality of discrimination and try tostore as much of these two as possible, so that you can draw upon the stock whenever the need arises.The chief source of ananda is dedication to God; nothing else can give that genuine and lasting joy. Becomeconscious of your kinship with the Lord. That kinship is not a mere fancy or a faked theory. It has come downsince ages, from the beginning of time itself. It will persist till the very end of time, or, in other words, till the endof time as far']"
 Which of the following is NOT true according to the passage?, Manu is the law-giver.,0,22,"['is the great Sivarathri, taking place generally in February or March.manas. Mind, the inner organ, which has four aspects: (i) mind (manas), which deliberates, desires, and feels;(ii) intellect (buddhi), which understands, reasons, and decides; (iii) the ‘I’ sense, and (iv) memory (chitha).The mind, with all its desires and their broods, conceals the Divinity within man. Purification of the mind isessential for realisation of the Self.\x0cmanava. Man, descendent of Manu, the law-giver.mantra. A sacred formula, mystic syllable or word symbol uttered during the performance of the rituals ormeditation. They represent the spiritual truths directly revealed to the rishis (seers). The section']"
 The author thinks that _., you should develop your skills and health,0,41,"['Each hasa certain fund of intelligence and a peculiar bundle of instincts and impulses and past impressions. To the extentthat you develop them or divert them or diminish their strength, to that extent there is bound to be difference inyour equipment and achievement. Use all chances you get to develop your skills and your health and your character. That is your present duty. Make lasting friendships. Do not by any action of yours cause pain to another; norsuffer pain yourself by foolishness or sheer bravado.In your school, I find there are some girls too; treat them with great respect and']"
 The author thinks that girls should learn _.," the technique of mental calm, social harmony, service, and economic contentment",0,79,"['woman has a very crucial role to play in individual and social uplift. Therefore, I would not burden girls with the studyof the geographical minutiae of America, Australia, or Germany. I would rather they knew the technique of mental\x0ccalm, social harmony, service, and economic contentment. Let them develop a dread of falsehood, of sliding intomoral error; that is more important than even the development of the dread of God.Let the girls also know something of the joy that service to those in distress can give, service without athought of the benefits that may follow from the sympathy shown. Let them']"
 The river Chithravathi flows by the side of your village because _., it is a link between you and Me,0,31,"['why the Lord says: why fear when I am here? Be always joyful, optimistic,and courageous.You said that the river Chithravathi that flows near Puttaparthi flows by the side of your village too, and thatit is a link between us both. But it is a very feeble link, if at all, for it is full only a few days in the year. The rest ofthe year it is a sandy waste! If the life-giving waters of courage flow in your heart of hearts, then that Chithravathiis more precious than this dry stream; it is a truer link between you and Me.The']"
 The author mainly wants to tell us _., the importance of unity with the Siva Power,0,43,"['conserve, as well as dissolve, all at the same time, and to the same extent.These divine energies are similarly pictured as inseparably associated with the three aspects of the Absolute.Man’s duty is to achieve unity with the Siva Power (Siva-Sakthi), for he is but a spark that has emanated from it;he is but a flame of the Eternal Fire.Devotion must confer patience and fortitudeEnter upon that task of spiritual discipline from now on; that is the lesson you must learn here. Otherwise, apilgrimage leads only to the accumulation of vessels —you buy vessels from wherever you go: from Raameshwaram, Tirupati,']"
 The author believes that _., the intellect is only a tool to help us find the Godward path,0,61,"['of the limitation of reason. Logic must give way to logos, and deductionmust yield place to devotion.The intellect can help you only some distance along the Godward path; the rest is illuminated by intuition.Your feelings and emotions warp even your thought processes, and reason is made by them into an untamed bull.Very often, egoism tends to encourage and justify the wildness, for a person is led along the wrong path by theirvery reason, if that is the path he likes! You very often come to the conclusion you want to reach!Scriptures are only road maps or guide booksUnless you are']"
 The author thinks that the patient should _., feel grateful for the service,0,29,"['the believer got mental purity also.When you prostrate before elders, the mind too must be humble; it is not the body alone that should bend.Now, many social workers in Madras visit hospitals and do service to the patients there. Most of the work theydo is mechanical, like fanning the patients, writing letters for them, and singing bhajans, without paying heed tothe actual requirements of the patients. Many do this work because it is the current mode of social service. But itmust be karma done with the full cooperation of the mind, gladly, intelligently, reverentially. The patient shouldnot feel disgusted at']"
 The Thirumalai Tirupati Devasthanam is a place where _., people can pray to Venkateswara,0,31,"['context and meaning are excellent media for the spread of devotion.That is why I came today, to encourage and bless this committee, which is celebrating Thyagaraja Festival. Threethings combined to bring Me here: their yearning, faith, and conjunction of convenience!The Thirumalai Tirupati Devasthanam must foster the nurseries of devotion wherever they are found. For itis through devotion that pilgrims flock to the Hill and pray before Venkateswara. If the springs of devotion dryup, with what are the minds of men to be watered? That is the reservoir for all the temples of this land. So, theDevasthanam can well come to']"
 The author refers to the Ocean of the Lord's Grace as _., the Grace of the Lord,0,21,"['of Vidura? Prema — that was all they had, and that was all they needed. TheGrace of the Lord is as the Ocean: vast, limitless. By your spiritual disciplines, your repetition of a Name of God,meditation, and systematic cultivation of virtue, this Grace is converted into clouds of truth; and they rain on humanity as prema showers, which collect and flow as the flood of bliss (ananda), back again into the Ocean — theOcean of the Lord’s Grace. When prema embraces humanity, we call it compassion, the quality not of pity butof sympathy —sympathy that makes one happy when others']"
 The name Rama is acceptable to all sects because _., it has the seed letters of both the Siva mantra and the Narayana mantra,0,71,"['the Rama that confers eternal joy. So repeat the name Rama — theSun that can make the lotus in the heart bloom. Rama is not the son of Emperor Dasaratha but of the ruler of theten senses (dasendriyas). The recital of Rama’s Name must become as automatic as breathing, as frequent and asessential.Rama has in it the seed letters of both the Siva mantra and the Narayana mantra, for it is composed of thesecond letters of both: Na-ra-yana and Na-mah-sivaya. This name is acceptable, therefore, to all sects. It alsoendows you with power and all the spiritual capital you need.Real']"
 The author's purpose in writing the passage is to _., advise people to get Grace,0,26,"['can harm you; maleficent influences even from the most powerfulcombination of planets with which the astrologers terrify you will disappear in a trice. In order to get that Grace,there are two prescriptions: speak lovingly, as far as the world is concerned, and speak the truth, as far as the nextworld is concerned. Love (prema) is the weapon, and enquiry is the wheel that must be revolved perpetually toget the light of prema. Until prema emerges, you have to be in the darkness of hatred, where even the slightestmovement creates fear and suspicion.Charge the battery of your spiritual discipline continuouslyNever yield']"
 The purpose of the author is to _., encourage people to sing the praise of the Lord,0,47,"['act will be donebetter and more efficiently, without any malingering or insincerity. It will also win the Grace of the Lord, so adevotee will be able to raise more crops and enjoy greater health and mental happiness.Do some inner cultivationIf all the thousand persons in a village sing the glory of the Lord together, that will produce greater harmonyand social cohesion than the thousand clamouring and shouting one against the other. Love (prema) will flood thevillage and fertilise all your efforts if you take the Lord’s name and sing together. Do it for some time, and youwill yourself bear witness']"
 The Puranic story is about _., the churning of the ocean to gain the nectar of immortality,268,328,"['liberation being the only desire.However much you may earn either wealth or strength, unless you tap the springsof bliss (ananda) you cannot have peace and lasting content.Sathya Sai Baba\x0c35. The Dangers of DoubtKasturi now spoke to you about the Puranic story of the churning of the ocean to gain the nectar of immortality). He said that when the demi-gods were overcome by conceit, delusion, and ignorance, the sages cursedthem with age, greyness, and senility; and they became easy victims for the demons. So, to restore to them the lostsplendour, the Lord suggested churning the ocean and the winning of nectar']"
 The author thinks that the intellect should be kept sharp and clear because _., it is the key to solving the problems,0,37,"['content with the satisfaction of mere animal needs; one feels some void, some deep discontent, some unslaked thirst, for one is a childof Immortality and feels that death is not and should not be the end. This discrimination urges one to discoveranswers to haunting problems: “Where did I come from, whither am I journeying, which is the journey’s end?”So, the intellect has to be kept sharp and clear.There are three types of intellect, according to the predominance of one or other of the three qualities (gunas): (1) inertia or sloth (thamas), which confuses truth with the untruth and takes untruth']"
 The writer of the passage thinks that _., spiritual practices should be valued to a limited extent,0,56,"['more pleasurable than the actual experience of the temple to which the pilgrim went.Make spiritual effort as natural as breathingIt was mentioned in the Gita that you should not care for the fruit of your action, but I say now that you may\x0cvalue the result of your actions to a limited extent. That advice was given according to the conditions prevalentthen and the delusion that Arjuna suffered. Since it will increase your Bliss (Ananda) and give greater strength toyour spiritual practices, I say now that so far as spiritual practices is concerned, you can do them with a keen eyeon']"
 The author thinks that _., education is the secret of peace,0,32,"['secret of peace; that is the education that one must first claim andsecure. We find today that, the person who is most highly educated is the very person who is most discontentedand unhappy. Then, what is the gain from all the study the person has made of books and of men and things?To gain this equanimity, you have to do not reading but systematic spiritual effort. Then, you can be happywhether you are rich or poor, appreciated or rejected, prosperous or unlucky. That is an armour without which itis foolish to enter the arena of life. If the arena is']"
 The author suggests that we should _., follow the path of Names and Forms,0,34,"['a fall, of the river for the sea. The pangs of separation must gnaw the heart; the entirebeing must yearn for union. Do not vacillate or change or try a series of Names and Forms. That will only fritteraway time and energy. Ceaseless contemplation of the Lord will give ceaseless taste of nectar to you.If you do not follow this path, you are doubly to blame, for you have contacted Me. The Form usually createsdoubts, for when only the Name is there, you can build around it all your fancies, all that you want, to completethe picture. Do not be']"
 The elders laugh at their children because _., they are not cultivating higher virtues,0,39,"['the right I have to chastise you and direct youalong the path.I know that the elders, while themselves neglecting the cultivation of higher virtues and themselves discarding the discipline of repetition of the name and meditation, commit the additional crime of laughing at theirchildren who feel the sweetness of the Name of the Lord and who frequent the places where they can get goodcompany, noble thoughts, and spiritual teaching. They call such young persons demented and try to cure them bytheir own special course of punishment. Their children’s insanity is certainly preferable to the madness for luxury,for gambling, for drink,']"
 The easiest habit of love is _., telling the truth,0,17,"['of love, and there isno need for subterfuge. The easiest habit is speaking the truth, honesty, for if you start telling lies, you will haveto keep count of them and remember how many you have told to whom and be always alert not to contradict onelie with another! Love people, and you need no longer deceive them with a lie; you will feel that they deserve thetruth and nothing less than the truth. Love saves a good deal of bother.Do not be led away by all this present-day talk of equality, either of men and women or of all men.']"
 The elders in the passage _., were not able to make full use of the splendid chances,0,54,"['by millionsTo secure pearls, one has to go far out into the sea and dive deep; simply wading in the shallows and declaring that the pearl story is a myth is a sign of foolishness. So too, the elders here wondered so long at all stories ofMy miracle powers and could not make use of the splendid chances that lay at their very doors. They saw onlythe light, but did not feel the warmth. That itself proves that though they were physically so near, they were verydistant for all practical purposes. They could see the Splendour, the Glory, the Effulgence,']"
 The eighteen-year-old boy is asked to _., go into the kitchen and eat,0,27,"['secular or trained. In all other places, your are fleeced, for the relationship is based on the purse.In some places, it is based on caste or scholarship or some other incidental trait; here, it is the attachment thatNarayana (God) has for nara (human), the Ocean for the stream, the Universal for the particular. Here, everyonemust become unlimited, escaping from bonds that limit him.All can become He; no one is outside the Love of the Lord.The eighteen-year old boy is asked by the mother to go into the kitchen and place a plate before himself,serve himself rice and curry, and eat.']"
 The purpose of the passage is to _., call on people to seek inward contentment,0,41,"['this dull, dreary routine of eating,drinking, and sleeping. It seeks something that it knows it has lost: inward contentment (santhi). It seeks liberation\x0cfrom bondage to the trivial and the temporary. Everyone craves for it in their heart of hearts. And it is availableonly in one shop: contemplation of the Highest Self, the basis of all this appearance.However high a bird may soar, it has sooner or later to perch on a tree top, to enjoy quiet. So too, a day willcome when even the most haughty, the most willful, the most unbelieving, and even those who assert that thereis no']"
 The passage is mainly about _., how to get the Name of the Lord on one's tongue at the last moment,0,66,"['through life, and he could not switch it on to God at short notice.The merit of actions will have its say, whatever you may wish.Without faith, no progress is possibleIt is no mean achievement to get the Name of the Lord on one’s tongue at the last moment. It needs thepractice of many years, based on a deep-seated faith. It needs a strong character, without hatred or malice, for thethought of God cannot survive in a climate of pride and greed.And how do you know which moment is the last? Yama, the God of Death, does not give notice of']"
 The author mainly wants to tell us _., how to use spiritual disciplines,0,32,"['collected all in one place. All that I can tell you about spiritual disciplines have beentold often before; man’s capacity, his nature, his talents are all ancient possessions, so the advice regarding howto use them is also very ancient.The only new thing is man’s perverse behaviour —the directions in which he has been wasting his talents,misusing his capacity, and playing false to his own nature. He has been forgetting the path prescribed in the scriptures for the cultivation of his nature, and hence all this suffering; hence also My advent.People are essentially discriminating animals, endowed with discrimination. One is not']"
 The purpose of the speech is to _., call on people to make a grand event,0,36,"['I amglad you are aware of its importance. You have made arrangements to celebrate the event in a grand manner, all ofyou joining together joyfully to carry out the various tasks allotted by the organisers. It is this spirit of cooperationand this joyful comradeship that your village has shown that has brought Me here today. I am Love (Prema), andI want to see prema progress in all places and affairs.Man suffers from two types of ills, physical and mental, the one caused by the dis-equilibrium of the threetempers of wind, bile, and phlegm and the other caused by the dis-equilibrium']"
 The author thinks that real peace is to be got only in _., the depths of the spirit,303,328,"['Institute of Science, that there is something beyondall this objective world, some mystery that becomes deeper and more mysterious with every advance of science.When one door is opened, ten doors that were closed reveal themselves to the surprised scientist. So real peace(santhi) is to be got only in the depths of the spirit, in the discipline of the mind, in faith in the One Base of all thisseeming multiplicity. When that is secured, it is like having gold, you can have any variety of jewels made from it.It is all a matter of one’s own experience. And the joy of']"
 Which of the following is NOT true according to the passage?, A spiritual seeker should be a person full of devotion.,0,55,"['qualities to bedeveloped by a spiritual person).Sixteen qualities to be developedA spiritual seeker should be (1) full of devotion, (2) prepared to enjoy suffering, (3) free from the attachmentto the transitory, (4) eager to serve the Lord, (5) of correct conduct, (6) charitable, (7) having an unsullied reputation, (8) with no blemish on his character, (9) fully content, (10) endowed with good qualities, (11) equipped withall the virtues, (12) equipped with the fruits of learning, (13) ripe in wisdom, (14) self-controlled, (15) adornedwith commendable social traits, (16) full of humility and fully surrendered to God.[In Sanskrit, a spiritual seeker must']"
 The purpose of the passage is to _., advise us to pay attention to the body and its care,0,51,"['in turn develop your intelligence more fully. Devotion (bhakthi) leads to power (sakthi), and power will grant skill (yukthi). The skill willhelp you to fix your attachment (rakthi) on the proper objects, and your devotion thus promoted finally results inliberation (mukthi).A certain amount of attention has to be paid to the body and its care, as well as to escape the overpoweringhandicaps of poverty; but be ever cautious that you are not caught in the coils and forget the transitoriness of allthis. Bring your thoughts constantly back to the Atma, which is the substance of all the objective world, the']"
 The author thinks that _., the stage is the stage and the play is the play,0,47,"['stage, so it isall very confusing. When the entire story is unfolded, you will appreciate His Plan, not until then; for that, youhave to get behind the screen of deluding power (maya) and contact the Director Himself. While you are an actoron the stage reciting your role, you cannot grasp the inner meaning of the entire play, which has the “world” asthe stage and “ages” as the duration.If, by acting your role well, you develop Love toward fellow actors, that is more important than getting devotion for God. If you acquire peace, that is a more valuable success than acquiring']"
 The Lord has said that _.," where His devotees sing,there I sit Myself",0,42,"['message contained in thesong and in the transmission to the singer and the listener of the live emotion out of which the song arose in thefirst instance. This can happen only if the meaning is clear.Devotion is the reservoir for all the templesMusic as a vehicle of peace is universally popular; men, women, and children of all lands are amenable to itssubtle influence. Even animals and plants are susceptible to music. The Lord has said: “Where My devotees sing,there I seat Myself (madbhaktha yathra gaayanthe, thathra thishthaami, Narada)” So the songs of Thyagarajasung well and with full realisation of the']"
 The author believes that _., women should be the best teachers,0,33,"['the best teaching aidThe unfolding will be helped if the teacher is a fine example of discrimination, humility, and clear-sightedness), rather than a person engaged in the task of mere repetitive teaching and coaching for examinations. Example, not precept, is the best teaching aid.The value of character has to be emphasised here, for this is a school for girls, and traits like modesty anddevotion to God are the real jewels for womankind. Women preserve the traditional values of our culture and keepthe nation on an even keel. If they fail, it would be famine, not prosperity, believe Me. So, base']"
 The author suggests that people should _., make themselves pure by incessant striving,0,42,"['be done to restore him to sanityis to reteach him the Atmic (universal spiritual) basis of all the pomp and pageantry of office, the evanescence thatis immanent in all created things.Today, though in outward appearance people are human, in inner impulse they are sub-human or demonic;people who have no charity or sacrifice in them are called demons. Demi-god and demon are mixed in the humanmake-up, and now the demon rules the roost. Therefore, man has lost his glory and his power and his splendour;he must win them again by spiritual discipline. So make yourselves pure by incessant striving.Man is but']"
 The taste for good music has gone nowadays because _., the taste for good music has gone,0,33,"['ages and the furyof typhoons that swept whole peoples off their feet. India is still green and fresh, on the threshold of a new era,under the leadership of her own ancient ideals.The taste for good music has also gone nowadays, with the coming of catchy lilts and croonings from thecinemas, and the craze has spread for imitating them even in bhajans! Sing the compositions of Thyagaraja in theclassical tunes, and I am sure they will have great appeal. They are not mere songs (paatalu), they are bundles(mutalu) of precious stones; they take you along the road (batalu) to God.If Thyagaraja']"
 The Avatar is a person who _., has to destroy the human being,0,30,"['either negated and neglected or feared and avoided.\x0cThe Avatar (divine Advent) has to lift humanity and put it into the crucible in order to remove the slag andinferior metals that have destroyed its sterling worth. When little boys turn the tap without knowing its mechanism, water badly drenches them by scattering on them circular showers; thus is man drenched in grief becausehe does not know how to turn and get an even flow.If the hero (nayaka) is good, the drama (nataka) will be grand; if the hero is a flop, the drama will be a disaster. The leaders of the']"
 The Atma is _., the universal nature of the Atma,0,32,"['is both sweet and digestible. It is difficult to grasp the idea of the Atma, about which KuppaBairagi Shasthri spoke, in spite of all the quotations he gave from all the commentaries on the Upanishads.Gold in all the jewels is the base and the substance, however many forms and whatever shapes the jewelsmay have. To become a particular jewel is to lose the universal nature or rather to limit it. To lose the name andform of gold and become a jewel is to feel separate, to forget the One. The Atma does not change, no one cantransform it. Its nature']"
 The purpose of the Lord coming on this Earth is to _., make man realize his spiritual progress,0,39,"['have tobe trained and controlled; that is the aim. They can take you as far as the qualified dualism. Later, non-dualisticexperience depends upon His Grace, and merging in the Absolute is in His Hands. The chief means are hearing,singing, remembering Lord’s Name, prostration, salutation, servitude, friendship, and Self-offering. Friendship isplaced just before offering of the Self because between friends, there is no fear, no doubt or disbelief or hesitation.Mission on which the Lord comes on this EarthIt is to clear the path of spiritual progress of humanity that the Avatar (Divine Incarnation) has come. Therestlessness in which man is immersed']"
 The best and the wisest thing is to _., see that you do not fall ill,191,220,"['He hasendowed you.You have all gathered here to celebrate the completion of four years in the life of this Sathya Sai Hospital.So I want to tell you that the best and the wisest thing is to see that you do not fall ill. The doctor read out in the\x0creport that this year the number of out-patients as well as the number of operations was greater than last year, asif that is a sign of progress! But I do not think that speaks well of the people around and their sense of values. Thehospital should radiate preventive measures also and try']"
 The author believes that _., one should be a child of God,0,28,"['fromsome adept in the field. For courage, you must feel your own importance for your uplift; never call yourself asinner born in sin, bred in sin, and engaged in sin. No; that kind of self-condemnation ill becomes a child of God.In every one of you, God is the moving spirit, the very Soul; how then can you be evil when you are here tofulfill God’s purpose, according to his Will, His plan, His law? He has endowed you with many faculties so thatyou may seek Him and reach Him. You are not, therefore, a helpless neglected individual undergoing a sentenceof']"
 The passage is mainly about _., how to set right our bad habits,0,31,"['do not pollute the air with vengeful boasts.Purify your conduct, cleanse your behaviourThe seedling wants water and manure to grow and yield rich harvest. The tiny sapling of spiritual yearningfor liberation from bondage also needs these two. That is the real cultivation that you must undertake. That is themark of the wise farmer..\x0cMore than all, set right your habits, purify your conduct, and cleanse your behaviour. One bad habit that hastaken deep root in this area is the smoking of tobacco, an evil that is fast becoming universal. It destroys health,happiness, energy, and even charm. Smoke will not quench your']"
 The best title for the passage is _., The Master of Your Mind,0,23,"['millions of miles away, can set fire to someobject if by means of a magnifying glass its rays are focused at one point. So also, focus all your powers of observation and judgement on one topic and it will surely stand revealed.Man can and should be the master of his mindThe world itself is subject to constant agitation; how can your plan to lead a quiet contented peaceful life\x0cupon it succeed? It is like trying to float without any heaving or falling while being tossed about on the wavesof the sea. Under such conditions, the best thing is to recognise']"
 The purpose of the passage is to _., tell us how to live according to the principles,0,47,"['in contact with theLord in that form, do you? Do not proclaim great truths aloud; instead, show by your conduct that you attach valueto them and that you are guided by them.Be careful of at least this: do not yourself commit those faults of which you accuse others, and do not askothers to reach a standard that you are loathe to climb up to! If you live according to these two principles, theneven if you do not fall before an image or attend the temple ritual or worship as per schedule, you can secure theLord’s Grace.It is possible to see']"
 The passage is mainly about _., non-dualism,0,11,"['as children do, when he was tortured; he did not appeal to\x0cthe torturers to save him; he saw in those cruel henchmen the Narayana (God) he adored. Everything, everybody,was Narayana for him. How then could he feel pain or suffer injury? Non-dualism in practice, the culmination ofdevotion, fully realised spiritual knowledge, liberated him. The vision of this Oneness is the highest reward thenon-dualist seeks.All this is a dream, and you are all actors. Once in Puttaparthi, in a village play, the role of Vali was assignedto a rich man’s son and that of Sugriva to a poor man’s son. Vali']"
